ID,Link,Title
11485,https://indico.jlab.org/event/459/contributions/11485/,IceCube SkyDriver - A SaaS Solution for Event Reconstruction using the Skymap Scanner,https://indico.jlab.org/event/459/contributions/11485/attachments/9280/13463/CHEP%202023%20-%20SkyDriver.pdf
11801,https://indico.jlab.org/event/459/contributions/11801/,Performance Portability with Compiler Directives for Lattice QCD in the Exascale Era,https://indico.jlab.org/event/459/contributions/11801/attachments/9401/13639/MeifengLin_LQCD_CHEP2023.pdf
11752,https://indico.jlab.org/event/459/contributions/11752/,Resilient Variational Autencoder for Unsupervised Anomaly Detection at the SLAC Linac Cohrerent Light Source,https://indico.jlab.org/event/459/contributions/11752/attachments/9432/13678/CHEP%20Resilient%20VAE%205-8-22.pdf
11447,https://indico.jlab.org/event/459/contributions/11447/,The Exa.TrkX Project,https://indico.jlab.org/event/459/contributions/11447/attachments/9425/13754/CHEP%202023%20ExaTrkX%20overview.pptx
11523,https://indico.jlab.org/event/459/contributions/11523/,User-Centered Design for the Electron-Ion Collider,https://indico.jlab.org/event/459/contributions/11523/attachments/9522/13810/Diefenthaler-CHEP2023-UCD.pdf
11573,https://indico.jlab.org/event/459/contributions/11573/,"A multidimensional, event-by-event, statistical weighting procedure for signal to background separation",https://indico.jlab.org/event/459/contributions/11573/attachments/9512/13820/CHEP-2023.pdf
11494,https://indico.jlab.org/event/459/contributions/11494/,Analysis Grand Challenge benchmarking tests on selected sites,https://indico.jlab.org/event/459/contributions/11494/attachments/9266/13438/agc_benchmarking_tests.pdf
11327,https://indico.jlab.org/event/459/contributions/11327/,EOS Software Evolution Enabling LHC Run-3,https://indico.jlab.org/event/459/contributions/11327/attachments/9297/13491/CHEP%202023%20-%20EOS%20Software%20Evolution%20Enabling%20LHC%20Run-3.pdf
11440,https://indico.jlab.org/event/459/contributions/11440/,Faster simulated track reconstruction in the ATLAS Fast Chain,https://indico.jlab.org/event/459/contributions/11440/attachments/9429/13672/track%20overlay%20chep.pdf
11865,https://indico.jlab.org/event/459/contributions/11865/,From hyperons to hypernuclei online,https://indico.jlab.org/event/459/contributions/11865/attachments/9303/13499/Kisel%20CHEP%202023%20v2.pdf
