Year,Link,Title,Authors,Attachment
2023,https://indico.jlab.org/event/459/contributions/11588/,Deep Learning for Matrix Element Method,"Roy Avik, Neubauer Mark, ",https://indico.jlab.org/event/459/contributions/11588/attachments/9583/13909/Deep%20Learning%20for%20the%20Matrix%20Element%20Method.pdf
2023,https://indico.jlab.org/event/459/contributions/11823/,Evaluation of ARM CPUs for IceCube available through Google Kubernetes Engine,"Sfiligoi Igor, Würthwein Frank, Schultz David, Riedel Benedikt, ",https://indico.jlab.org/event/459/contributions/11823/attachments/9228/13392/chep23_icecube_arm_rc3.pdf
2023,https://indico.jlab.org/event/459/contributions/11733/,Graph Neural Network for 3D Reconstruction in Liquid Argon Time Projection Chambers,"Hewes V, Cerati Giuseppe, Kowalkowski Jim, Aurisano Adam, Liao Wei-Keng, Lee Claire, Day Alexandra, Gumpula Kaushal, Koloskov Nikita, Koretsky Samantha, Zhang Haley, Yufei Xiao, Grzenda Daniel, Agrawal Ankit, Gray Lindsey, Klijnsma Thomas, Calafiura Paolo, Murnane Daniel, Choma Nick, Conlon Sean, Farrell Steven, Ju Xiangyang, Xu Yaoyuan, Spiropulu Maria, Vlimant Jean-Roch, ",https://indico.jlab.org/event/459/contributions/11733/attachments/9550/13855/2023-05-09%20CHEP%20talk.pdf
2023,https://indico.jlab.org/event/459/contributions/11699/,Scalable training on scalable infrastructures for programmable hardware,"Lorusso Marco, Bonacorsi Daniele, Costantini Alessandro, Duma Doina Cristina, Mariotti Mirko, Michelotto Diego, Salomoni Davide, spiga daniele, Travaglini Riccardo, Veronesi Paolo, ",https://indico.jlab.org/event/459/contributions/11699/attachments/9315/13512/CHEP2023_Slides.pdf
2023,https://indico.jlab.org/event/459/contributions/11721/,BESIII track reconstruction algorithm based on machine learning,"Jia Xiaoqian, Qin Xiaoshuai, Li Teng, HUANG Xingtao, Zhang Xueyao, Zhang Yao, Yuan Ye, ",https://indico.jlab.org/event/459/contributions/11721/attachments/9408/14067/chep2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11602/,Event Generator Tuning Incorporating MC Systematic Uncertainty,"Ju Xiangyang, Schroff Jaffae, ",https://indico.jlab.org/event/459/contributions/11602/attachments/9594/13932/CHEP%202023%20MC%20Tuning%20with%20MC%20uncertainties.pdf
2023,https://indico.jlab.org/event/459/contributions/11486/,Bringing the ATLAS HammerCloud setup to the next level with containerization,"Rottler Benjamin, Boehler Michael, Lory Alexander, Mitterer Christoph Anton, Schovancova Jaroslava, ",https://indico.jlab.org/event/459/contributions/11486/attachments/9275/13449/chep_2023_hammercloud_benjamin_rottler.pdf
2023,https://indico.jlab.org/event/459/contributions/11714/,Advances in developing deep neural networks for finding primary vertices in proton-proton collisions at the LHC,"Sokoloff Michael, Akar Simon, Boettcher Thomas, Elashri Mohamed, Garg Rocky, Kauffman Elliott, Peters Michael, Sokoloff Michael, Tepe William, ",https://indico.jlab.org/event/459/contributions/11714/attachments/9420/13920/Sokoloff_Garg_CHEP-2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11694/,FAIR principles for Digital Objects in High Energy Physics: A Case Study with Universal FeynRules Output (UFO) Models,"Roy Avik, Wang Zijun, Neubauer Mark, ",https://indico.jlab.org/event/459/contributions/11694/attachments/9577/13898/2023-05-09_FAIR4UFO-CHEP23.pdf
2023,https://indico.jlab.org/event/459/contributions/11382/,Triggerless data acquisition pipeline for Machine Learning based statistical anomaly detection,"Grosso Gaia, Lai Nicolò, Migliorini Matteo, Pazzini Jacopo, Triossi Andrea, Zanetti Marco, Zucchetta Alberto, ",https://indico.jlab.org/event/459/contributions/11382/attachments/9444/13693/CHEP2023_triggerlessDaqNPLM.pdf
