Year,Link,Title,Authors,Attachment
2018,https://indico.cern.ch/event/587955/contributions/2938096/,Software training for the next generation of Physicists: joint experience of LHCb and ALICE,"Chris Burr, Dario Berzano, Redmer Alexander Bertens, Albert Puig Navarro, Chris Burr, Violaine Bellee, ",https://indico.cern.ch/event/587955/contributions/2938096/attachments/1678925/2704961/20180709_-_CHEP2018_-_Software_training_for_the_next_generation_of_physicists_-_joint_experience_of_LHCb_and_ALICE.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936816/,Advancing throughput of HEP analysis work-flows using caching concepts,"Christoph Heidecker, Gunter Quast, Manuel Giffels, Max Fischer, Matthias Jochen Schnepf, Eileen Kuhn, ",https://indico.cern.ch/event/587955/contributions/2936816/attachments/1679283/2697239/CHEP-2018-07-09-cheidecker-v2.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937523/,Anomaly detection using Deep Autoencoders for the assessment of the quality of the data acquired by the CMS experiment,"Gianluca Cerminara, Giovanni Franzoni, Federico De Guio, Adrian Alan Pol, Filip Siroky, Virginia Azzolini, Maurizio Pierini, Jean-Roch Vlimant, ",https://indico.cern.ch/event/587955/contributions/2937523/attachments/1683227/2705308/chep-offline.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938059/,Exploring polyglot software frameworks in ALICE with FairMQ and fer,"Sebastien Binet, Laurent Aphecetche, ",https://indico.cern.ch/event/587955/contributions/2938059/attachments/1676503/2691778/2018-07-09-chep-alice-fer.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936249/,Modeling and Simulation of Load Balancing Strategies for Computing in High Energy Physics,"Rene Caspart, Patrick Firnkes, Manuel Giffels, Anne Koziolek, Gunter Quast, Ralf Reussner, ",https://indico.cern.ch/event/587955/contributions/2936249/attachments/1682403/2704855/CHEP2018_rcaspart.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937526/,New techniques for pile-up simulation in ATLAS,"Tadej Novak, ",https://indico.cern.ch/event/587955/contributions/2937526/attachments/1678296/2695383/CHEP_Overlay.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935760/,The protoDUNE Single Phase Detector Control System,"Xavier Pons, Giovanna Lehmann Miotto, Manuel Jesus Rodriguez Alonso, ",https://indico.cern.ch/event/587955/contributions/2935760/attachments/1679810/2705026/The_protoDUNE_Single_Phase_Detector_Control_System.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937937/,Using Kytos SDN platform to enhance international big data transfers,"Beraldo Costa Leal, Renan Barbosa, Jadir Marra Da Silva, Jeronimo Bezerra, Rogerio Iope, ",https://indico.cern.ch/event/587955/contributions/2937937/attachments/1679291/2705599/KytosCHEP18-v4.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936857/,Evolution of the Hadoop platform for HEP,"Zbigniew Baranowski, Prasanth Kothuri, Luca Canali, ",https://indico.cern.ch/event/587955/contributions/2936857/attachments/1675342/2705670/Hadoop_CHEP2018.pptx
2018,https://indico.cern.ch/event/587955/contributions/2937622/,FairRoot and ALICE O2 multithreading simulation,"Ivana Hrivnacova, ",https://indico.cern.ch/event/587955/contributions/2937622/attachments/1679275/2705182/hrivnacova-chep18-380_v2.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938140/,HEPCon - A Cross-Platform Mobile Application for HEP Events,"Martin Vasilev, Vasil Georgiev Vasilev, Petya Tsvetanova Vasileva, Alexander Penev, ",https://indico.cern.ch/event/587955/contributions/2938140/attachments/1679428/2705888/HEPCon.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937942/,Integration and evaluation of QUIC and TCP-BBR in long-haul WLCG data transfers,"Raul Cardoso Lopes, Duncan Rand, Tim Chown, ",https://indico.cern.ch/event/587955/contributions/2937942/attachments/1679644/2705403/3.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937517/,"Online detector monitoring using AI: challenges, prototypes and performance evaluation for automation of online quality monitoring of the CMS experiment exploiting machine learning algorithms.","Adrian Alan Pol, Maurizio Pierini, Gianluca Cerminara, Cecile Germain, Giovanni Franzoni, Filip Siroky, ",https://indico.cern.ch/event/587955/contributions/2937517/attachments/1683228/2705309/chep-online.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935719/,Software based control and monitoring of a hardware based track reconstruction system for the ATLAS experiment,"Julie Hart Kirk, Simone Sottocornola, ",https://indico.cern.ch/event/587955/contributions/2935719/attachments/1679148/2698524/FTK_Sottocornola_v21.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937236/,The LZ UK Data Centre,"Daniela Bauer, David Colling, Simon Fayer, Elena Korolkova, Antonin Vacheret, Alexander John Richards, ",https://indico.cern.ch/event/587955/contributions/2937236/attachments/1678937/2702205/CHEP2018LZ.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938039/,Application extensibility and customization - Indico's case,"Adrian Mönnich, Marco Vidal, Michal Kolodziejski, Natalia Karina Juszka, Pedro Ferreira, ",https://indico.cern.ch/event/587955/contributions/2938039/attachments/1683085/2704930/indico-chep2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937506/,ATLAS Analytics and Machine Learning Platforms,"Ilija Vukotic, Federica Legger, Dario Barberis, James Catmore, ",https://indico.cern.ch/event/587955/contributions/2937506/attachments/1677456/2693631/ATLAS_Analytics_and_Machine_Learning_Platforms_1.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936875/,Disk failures in the EOS setup at CERN - A first systematic look at 1 year of collected data,"Dirk Duellmann, Alfonso Juan Portabales Gonzalez, Eric Bonfilou, Luis Gonzales, ",https://indico.cern.ch/event/587955/contributions/2936875/attachments/1683142/2705978/CHEP-disk-failures.pdf
